baseline,graph,batch_size,measurement_idx,insert_time_PageRank,algorithm_time_PageRank,insert_time_LabelPropagation,algorithm_time_LabelPropagation,insert_time_wBFS_unweighted,algorithm_time_wBFS_unweighted,insert_time_BFS,algorithm_time_BFS
run_absl_btree_set,com-orkut.ungraph,100,4,4e-05,0.310522,4.9e-05,0.039904,4.6e-05,3.663137,3.9e-05,0.00766
run_absl_btree_set,com-orkut.ungraph,100,5,4.7e-05,0.311385,5.3e-05,0.039304,4.9e-05,3.654161,4.4e-05,0.006821
run_absl_btree_set,com-orkut.ungraph,100,6,4.9e-05,0.311709,3.9e-05,0.039663,4.4e-05,3.660805,3.6e-05,0.006802
run_absl_btree_set,com-orkut.ungraph,100,7,5.3e-05,0.311083,4.8e-05,0.039115,5.1e-05,3.668574,4.2e-05,0.006754
run_absl_btree_set,com-orkut.ungraph,100,8,5e-05,0.314696,4.1e-05,0.039606,0.000381,4.0229,3.6e-05,0.007014
run_absl_btree_set,com-orkut.ungraph,100,9,5.4e-05,0.31131,5.3e-05,0.040152,5e-05,3.709046,3.7e-05,0.006789
run_absl_btree_set,cit-Patents,100,0,2.6e-05,0.168825,2.8e-05,0.024335,2.6e-05,5.403326,2.7e-05,0.017214
run_absl_btree_set,cit-Patents,100,1,3.6e-05,0.17114,4.2e-05,0.022629,4.8e-05,5.348522,3.2e-05,0.011023
run_absl_btree_set,cit-Patents,100,2,4.2e-05,0.180449,4.4e-05,0.023445,6.3e-05,5.870868,3.6e-05,0.010922
run_absl_btree_set,cit-Patents,100,3,4.1e-05,0.191936,4.2e-05,0.023101,5.2e-05,5.467103,3.7e-05,0.01092
run_absl_btree_set,cit-Patents,100,4,4.6e-05,0.182745,4.6e-05,0.023169,0.000234,5.338042,3.4e-05,0.010875
run_absl_btree_set,cit-Patents,100,5,4.1e-05,0.175375,4.4e-05,0.023332,0.000434,5.369191,3.3e-05,0.011497
run_absl_btree_set,cit-Patents,100,6,4.4e-05,0.169031,4.3e-05,0.022884,4.4e-05,5.349848,3.3e-05,0.01206
run_absl_btree_set,cit-Patents,100,7,4.6e-05,0.17319,3.9e-05,0.02317,6e-05,5.387189,3.6e-05,0.011031
run_absl_btree_set,cit-Patents,100,8,4.3e-05,0.173187,3.9e-05,0.023237,4.6e-05,5.42262,3.6e-05,0.010866
run_absl_btree_set,cit-Patents,100,9,7.4e-05,0.161251,4.5e-05,0.022833,4.6e-05,5.410986,3.3e-05,0.010929
run_absl_btree_set,soc-LiveJournal1,100,0,2.4e-05,0.234319,3.2e-05,0.029396,3.1e-05,5.304647,2.7e-05,0.019201
run_absl_btree_set,soc-LiveJournal1,100,1,4.1e-05,0.224332,4.8e-05,0.02389,4.4e-05,5.218874,4.3e-05,0.010063
run_absl_btree_set,soc-LiveJournal1,100,2,4.1e-05,0.221574,4.2e-05,0.024354,4.4e-05,5.200776,4e-05,0.007987
run_absl_btree_set,soc-LiveJournal1,100,3,4e-05,0.221568,3.6e-05,0.024661,0.000558,5.225699,4.7e-05,0.007812
run_absl_btree_set,soc-LiveJournal1,100,4,4.8e-05,0.225876,4.1e-05,0.024139,6e-05,5.191107,4.6e-05,0.007735
run_absl_btree_set,soc-LiveJournal1,100,5,4.8e-05,0.236135,6.5e-05,0.02412,6.5e-05,5.12192,4.4e-05,0.008224
run_absl_btree_set,soc-LiveJournal1,100,6,6.3e-05,0.230794,5.3e-05,0.024384,4.4e-05,5.084491,4.7e-05,0.007672
run_absl_btree_set,soc-LiveJournal1,100,7,4.3e-05,0.22867,4.4e-05,0.023891,5e-05,5.091954,4.6e-05,0.007656
run_absl_btree_set,soc-LiveJournal1,100,8,4e-05,0.233413,5.3e-05,0.024123,5e-05,5.109896,4.2e-05,0.008045
run_absl_btree_set,soc-LiveJournal1,100,9,4.4e-05,0.220587,4.3e-05,0.024064,4.3e-05,5.298832,4.1e-05,0.007651
run_absl_btree_set,twitter-unique-undir,100,0,8.9e-05,7.081239,0.000159,0.947361,0.000123,32.871364,0.000466,0.222845
run_absl_btree_set,twitter-unique-undir,100,1,8.7e-05,7.00678,7.6e-05,0.856463,0.000189,33.154404,0.000684,0.105373
run_absl_btree_set,twitter-unique-undir,100,2,5.4e-05,6.990724,0.000103,0.860433,0.000103,32.950817,0.000379,0.102711
run_absl_btree_set,twitter-unique-undir,100,3,9.6e-05,6.985884,0.000113,0.858245,8.1e-05,32.389395,0.000222,0.104338
run_absl_btree_set,twitter-unique-undir,100,4,8.8e-05,6.985711,0.000116,0.861822,6.4e-05,32.717917,0.000328,0.103411
run_absl_btree_set,twitter-unique-undir,100,5,9.2e-05,6.982384,0.000112,0.849272,8.6e-05,34.150118,0.00049,0.104778
run_absl_btree_set,twitter-unique-undir,100,6,0.000103,6.934602,0.000123,0.860126,0.000115,32.729546,0.000271,0.104501
run_absl_btree_set,twitter-unique-undir,100,7,0.000112,6.669783,0.000106,0.85335,6.8e-05,31.800088,0.000417,0.103981
run_absl_btree_set,twitter-unique-undir,100,8,0.00013,6.644467,0.000105,0.852429,8.9e-05,31.827712,0.000366,0.103519
run_absl_btree_set,twitter-unique-undir,100,9,0.00014,6.660815,0.000278,0.863909,7.7e-05,31.718415,0.000752,0.101347
run_absl_btree_set,com-friendster,100,0,3.3e-05,56.20886,3e-05,6.042943,3.2e-05,48.673362,0.000121,4.676824
run_absl_btree_set,com-friendster,100,1,5.5e-05,67.395234,5.9e-05,5.228514,4.8e-05,49.000395,4e-05,2.124013
run_absl_btree_set,com-friendster,100,2,5e-05,84.713095,4.1e-05,5.225611,4.8e-05,48.032404,4.6e-05,2.111033
run_absl_btree_set,com-friendster,100,3,5.3e-05,81.488783,8e-05,5.178061,5.3e-05,48.647455,4.3e-05,2.140945
run_absl_btree_set,com-friendster,100,4,5.3e-05,91.46073,5.6e-05,5.24408,4.4e-05,49.131802,5.3e-05,2.134144
run_absl_btree_set,com-friendster,100,5,6.2e-05,80.798278,5.3e-05,5.040205,5e-05,49.119383,4.8e-05,2.103739
run_absl_btree_set,com-friendster,100,6,5.1e-05,65.485343,8.8e-05,5.156758,4.1e-05,49.690954,4.4e-05,2.120572
run_absl_btree_set,com-friendster,100,7,5.8e-05,70.887939,9.2e-05,5.106445,5.1e-05,49.051491,4.3e-05,2.099037
run_absl_btree_set,com-friendster,100,8,4.7e-05,71.13287,7.3e-05,5.049913,4.7e-05,48.858608,4.4e-05,2.085631
run_absl_btree_set,com-friendster,100,9,5.8e-05,40.036976,6.9e-05,5.046317,0.00034,49.169075,4.6e-05,2.094215
run_absl_btree_set,com-orkut.ungraph,1000,0,7.5e-05,0.305191,9.7e-05,0.051414,8.4e-05,3.825638,0.000101,0.014602
run_absl_btree_set,com-orkut.ungraph,1000,1,0.000111,0.306674,0.000114,0.049205,0.000603,3.759311,9.5e-05,0.007049
run_absl_btree_set,com-orkut.ungraph,1000,2,9.9e-05,0.302976,0.000107,0.047275,0.000567,3.710771,9.2e-05,0.006812
run_absl_btree_set,com-orkut.ungraph,1000,3,0.000106,0.303051,0.000111,0.046283,0.000124,3.566453,0.000119,0.00691
run_absl_btree_set,com-orkut.ungraph,1000,4,0.000104,0.302862,0.00012,0.046941,0.000127,3.685423,0.000105,0.006793
run_absl_btree_set,com-orkut.ungraph,1000,5,0.000102,0.305024,0.00012,0.046266,0.000587,3.554622,8.4e-05,0.006934
run_absl_btree_set,com-orkut.ungraph,1000,6,9.8e-05,0.304665,0.000132,0.046499,0.000126,3.55561,9.1e-05,0.006846
run_absl_btree_set,com-orkut.ungraph,1000,7,0.000105,0.301266,0.000124,0.046838,0.000129,3.54671,9.4e-05,0.006947
run_absl_btree_set,com-orkut.ungraph,1000,8,0.000101,0.303475,0.000216,0.046767,0.000181,3.540176,9.2e-05,0.006857
run_absl_btree_set,com-orkut.ungraph,1000,9,0.000108,0.238322,0.000151,0.046468,0.000121,3.546795,9.5e-05,0.006839
run_absl_btree_set,cit-Patents,1000,0,6.7e-05,0.154664,7.5e-05,0.022636,7.1e-05,5.336614,7.7e-05,0.017768
run_absl_btree_set,cit-Patents,1000,1,8.9e-05,0.157216,9.9e-05,0.021216,0.00012,5.248827,8.6e-05,0.011634
run_absl_btree_set,cit-Patents,1000,2,9.8e-05,0.161067,9.2e-05,0.020656,0.000127,5.358887,8.8e-05,0.011611
run_absl_btree_set,cit-Patents,1000,3,9e-05,0.164465,9.9e-05,0.020679,0.000791,5.46208,8.9e-05,0.011582
run_absl_btree_set,cit-Patents,1000,4,0.000393,0.166113,0.000105,0.020831,0.000478,5.476159,8.8e-05,0.011573
run_absl_btree_set,cit-Patents,1000,5,9.7e-05,0.163997,9.9e-05,0.020463,0.000609,5.298808,8.6e-05,0.011644
run_absl_btree_set,cit-Patents,1000,6,9.4e-05,0.164488,9.3e-05,0.021155,0.000111,5.269317,8.6e-05,0.011616
run_absl_btree_set,cit-Patents,1000,7,0.000107,0.163211,9.2e-05,0.021203,0.000113,5.247443,9e-05,0.011571
run_absl_btree_set,cit-Patents,1000,8,0.000107,0.164066,0.000103,0.021478,0.000107,5.25382,9e-05,0.01161
run_absl_btree_set,cit-Patents,1000,9,9.3e-05,0.153455,8.8e-05,0.020835,0.000115,5.274574,8.9e-05,0.011551
run_absl_btree_set,soc-LiveJournal1,1000,0,8e-05,0.191364,8.3e-05,0.029473,9.2e-05,5.188855,9.7e-05,0.018436
run_absl_btree_set,soc-LiveJournal1,1000,1,9.7e-05,0.186983,0.000102,0.024098,0.000341,5.086362,0.000121,0.009568
run_absl_btree_set,soc-LiveJournal1,1000,2,9.2e-05,0.188005,0.000116,0.024324,0.000119,5.046968,0.000106,0.009661
run_absl_btree_set,soc-LiveJournal1,1000,3,9.7e-05,0.206391,0.000113,0.02413,0.000109,5.272554,0.000113,0.009592
run_absl_btree_set,soc-LiveJournal1,1000,4,0.000371,0.205881,0.000116,0.024411,0.000423,5.051885,0.00012,0.009503
run_absl_btree_set,soc-LiveJournal1,1000,5,9.8e-05,0.208499,9.8e-05,0.024142,0.000102,4.996614,0.00011,0.009542
run_absl_btree_set,soc-LiveJournal1,1000,6,0.000184,0.200531,0.000125,0.024393,9e-05,5.005271,0.000119,0.009642
run_absl_btree_set,soc-LiveJournal1,1000,7,0.000296,0.198983,0.000147,0.024329,9.1e-05,4.99318,0.000122,0.009478
run_absl_btree_set,soc-LiveJournal1,1000,8,0.000109,0.206198,0.00012,0.024105,9.6e-05,4.984209,0.000115,0.009548
run_absl_btree_set,soc-LiveJournal1,1000,9,0.000103,0.198546,0.000134,0.024012,9.4e-05,5.151907,0.000108,0.00961
run_absl_btree_set,twitter-unique-undir,1000,0,0.000509,9.417587,0.00084,1.078017,0.000427,33.029917,0.00083,0.199276
run_absl_btree_set,twitter-unique-undir,1000,1,0.000173,8.875052,0.000286,0.960488,0.000281,32.802761,0.000692,0.096476
run_absl_btree_set,twitter-unique-undir,1000,2,0.000205,8.55624,0.000411,0.959074,0.000162,32.393961,0.001041,0.096791
run_absl_btree_set,twitter-unique-undir,1000,3,0.00032,8.563295,0.000504,0.943914,0.000271,32.238549,0.001227,0.095047
run_absl_btree_set,twitter-unique-undir,1000,4,0.000249,8.545261,0.000398,0.939095,0.000175,32.294113,0.000991,0.094716
run_absl_btree_set,twitter-unique-undir,1000,5,0.000159,8.525722,0.000506,0.946076,0.000498,32.773607,0.000936,0.095993
run_absl_btree_set,twitter-unique-undir,1000,6,0.000268,8.58873,0.000624,0.948057,0.00056,32.601362,0.001389,0.095814
run_absl_btree_set,twitter-unique-undir,1000,7,0.00021,10.947928,0.00039,0.939623,0.000384,32.35508,0.00093,0.094531
run_absl_btree_set,twitter-unique-undir,1000,8,0.000216,13.420035,0.00054,0.942117,0.000202,33.821834,0.001198,0.095171
run_absl_btree_set,twitter-unique-undir,1000,9,0.000307,13.849616,0.000528,0.937507,0.000235,33.754579,0.001489,0.097549
run_absl_btree_set,com-friendster,1000,0,8.9e-05,51.055129,9.2e-05,4.513611,9.9e-05,48.420265,0.000102,4.40898
run_absl_btree_set,com-friendster,1000,1,9.7e-05,56.83477,0.000205,3.811047,0.000123,47.303742,0.000108,2.184931
run_absl_btree_set,com-friendster,1000,2,0.000117,63.707839,0.000139,3.898227,0.000111,45.860567,0.000114,2.175553
run_absl_btree_set,com-friendster,1000,3,0.000112,71.918034,0.000145,3.850565,0.000108,45.910374,0.000115,2.157895
run_absl_btree_set,com-friendster,1000,4,0.000245,80.880192,0.000157,3.866938,0.000107,45.243966,0.000113,2.142293
run_absl_btree_set,com-friendster,1000,5,0.000121,76.760609,0.000163,3.898939,0.000109,49.732361,0.000118,2.125242
