baseline,batch_size,graph,algorithm,measurement_idx,value1,value2
run_vector_cpam,10,com-orkut.ungraph,LabelPropagation,1,4.3e-05,0.038356
run_vector_cpam,10,com-orkut.ungraph,LabelPropagation,2,5.1e-05,0.037956
run_vector_cpam,10,com-orkut.ungraph,LabelPropagation,3,3.2e-05,0.037993
run_vector_cpam,10,com-orkut.ungraph,LabelPropagation,4,3.8e-05,0.038025
run_vector_cpam,10,com-orkut.ungraph,LabelPropagation,5,4.6e-05,0.038523
run_vector_cpam,10,com-orkut.ungraph,LabelPropagation,6,5.3e-05,0.037295
run_vector_cpam,10,com-orkut.ungraph,LabelPropagation,7,5e-05,0.040183
run_vector_cpam,10,com-orkut.ungraph,LabelPropagation,8,3.7e-05,0.037834
run_vector_cpam,10,com-orkut.ungraph,LabelPropagation,9,4.9e-05,0.039006
run_vector_cpam,10,com-orkut.ungraph,PageRank,0,2e-05,0.235028
run_vector_cpam,10,com-orkut.ungraph,PageRank,1,3.1e-05,0.225976
run_vector_cpam,10,com-orkut.ungraph,PageRank,2,3.8e-05,0.233033
run_vector_cpam,10,com-orkut.ungraph,PageRank,3,3.8e-05,0.222158
run_vector_cpam,10,com-orkut.ungraph,PageRank,4,3e-05,0.233757
run_vector_cpam,10,com-orkut.ungraph,PageRank,5,4.6e-05,0.21829
run_vector_cpam,10,com-orkut.ungraph,PageRank,6,4.2e-05,0.232517
run_vector_cpam,10,com-orkut.ungraph,PageRank,7,5.3e-05,0.229735
run_vector_cpam,10,com-orkut.ungraph,PageRank,8,3.4e-05,0.214998
run_vector_cpam,10,com-orkut.ungraph,PageRank,9,4.1e-05,0.23067
run_vector_cpam,10,com-orkut.ungraph,wBFS_unweighted,0,3.1e-05,3.14754
run_vector_cpam,10,com-orkut.ungraph,wBFS_unweighted,1,5.3e-05,3.273072
run_vector_cpam,10,com-orkut.ungraph,wBFS_unweighted,2,5.9e-05,3.140097
run_vector_cpam,10,com-orkut.ungraph,wBFS_unweighted,3,3.9e-05,3.101305
run_vector_cpam,10,com-orkut.ungraph,wBFS_unweighted,4,3.5e-05,3.137132
run_vector_cpam,10,com-orkut.ungraph,wBFS_unweighted,5,4.8e-05,3.104252
run_vector_cpam,10,com-orkut.ungraph,wBFS_unweighted,6,4.9e-05,3.090547
run_vector_cpam,10,com-orkut.ungraph,wBFS_unweighted,7,7.2e-05,3.095841
run_vector_cpam,10,com-orkut.ungraph,wBFS_unweighted,8,4.4e-05,3.122486
run_vector_cpam,10,com-orkut.ungraph,wBFS_unweighted,9,5.3e-05,3.115431
run_vector_cpam,10,soc-LiveJournal1,BFS,0,2.2e-05,0.008572
run_vector_cpam,10,soc-LiveJournal1,BFS,1,2.2e-05,0.00628
run_vector_cpam,10,soc-LiveJournal1,BFS,2,3.6e-05,0.006038
run_vector_cpam,10,soc-LiveJournal1,BFS,3,2.2e-05,0.007034
run_vector_cpam,10,soc-LiveJournal1,BFS,4,2.4e-05,0.006067
run_vector_cpam,10,soc-LiveJournal1,BFS,5,3e-05,0.006207
run_vector_cpam,10,soc-LiveJournal1,BFS,6,2.3e-05,0.00611
run_vector_cpam,10,soc-LiveJournal1,BFS,7,2.3e-05,0.006146
run_vector_cpam,10,soc-LiveJournal1,BFS,8,2.7e-05,0.006021
run_vector_cpam,10,soc-LiveJournal1,BFS,9,2.3e-05,0.006201
run_vector_cpam,10,soc-LiveJournal1,LabelPropagation,0,1.9e-05,0.023925
run_vector_cpam,10,soc-LiveJournal1,LabelPropagation,1,3.1e-05,0.024207
run_vector_cpam,10,soc-LiveJournal1,LabelPropagation,2,4.5e-05,0.023824
run_vector_cpam,10,soc-LiveJournal1,LabelPropagation,3,3.4e-05,0.023835
run_vector_cpam,10,soc-LiveJournal1,LabelPropagation,4,3.4e-05,0.02398
run_vector_cpam,10,soc-LiveJournal1,LabelPropagation,5,3e-05,0.024328
run_vector_cpam,10,soc-LiveJournal1,LabelPropagation,6,3.3e-05,0.023988
run_vector_cpam,10,soc-LiveJournal1,LabelPropagation,7,3.1e-05,0.024025
run_vector_cpam,10,soc-LiveJournal1,LabelPropagation,8,3.5e-05,0.023878
run_vector_cpam,10,soc-LiveJournal1,LabelPropagation,9,3e-05,0.024207
run_vector_cpam,10,soc-LiveJournal1,PageRank,0,2.1e-05,0.182951
run_vector_cpam,10,soc-LiveJournal1,PageRank,1,4.6e-05,0.181262
run_vector_cpam,10,soc-LiveJournal1,PageRank,2,3.8e-05,0.186536
run_vector_cpam,10,soc-LiveJournal1,PageRank,3,3.4e-05,0.185263
run_vector_cpam,10,soc-LiveJournal1,PageRank,4,3.7e-05,0.182781
